# ----------------------------------------
# Report CSV Export
# Account: QUT Centre for Robotics
# Property: QCR Open Source Website
# ----------------------------------------
# 
# All Users
# Start date: 20210502
# End date: 20220502

Page path + query string and screen class,Views
/,1555
/collection/vpr_overview/,528
/code/,463
/dataset/,298
/collection/,199
/dataset/benchbot-bear-data/,168
/code/robotics-toolbox-python/,158
/dataset/aircraft-collision-course/,155
/code/debug/,141
/code/swift/,67
/collection/benchbot/,50
/dataset/vprbench/,48
/code/vprbench/,46
/collection/python_robotics/,45
/code/abstract-map/,41
/dataset/airspace-traffic-occupation/,36
/code/patchnetvlad_code/,34
/code/armer/,32
/code/seqnet_code/,32
/dataset/mt-cootha-day-night/,32
/dataset/brisbane_event_vpr_dataset/,30
/dataset/city-sunset/,27
/dataset/alderley/,25
/dataset/alderly/,24
/code/benchbot/,18
/code/event_vpr_code/,17
/code/code-templates/,15
/dataset/airspace-traffic-occupancy/,14
/code/lost_code/,13
/code/openseqslam2_code/,13
/code/spatialmath-python/,13
/collection/rt_gene_overview/,13
/code/delta_descriptors_code/,12
/code/heaputil_code/,11
/collection/human-cues/,11
/dataset/day-night-lateral/,11
/dataset/fish-image/,11
/debug/,11
/dataset/night-time-drive/,10
/code/benchbot-eval/,9
/dataset/cbd-and-highway/,9
/dataset/gold-coast-drive/,9
/dataset/benchbot-develop/,8
/dataset/rt_bene_dataset/,8
/?&,7
/code/benchbot-simulator/,7
/code/teach_repeat/,7
/code/Move-to-see/,6
/code/abstract-map-simulator/,6
/dataset/indoor-level-7/,6
/dataset/openratslam/,6
/dataset/rt_gene_dataset/,6
/code/benchbot-addons/,5
/code/topometric_localization/,5
/code/ros-omron-driver/,4
/dataset/multilane-sideways/,4
/_next/static/images/debug-0b702a0b6abfa7d90459998e6fa0ee8c.mp4,3
/dataset/kitti-semantics/,3
/dataset/trip-hazards/,3
/_next/static/images/gold_coast_sample-403d54f648160fcbabca61f64c22ba22.jpg,2
/code/abstract-map-app/,2
/code/benchbot-api/,2
/code/benchbot-supervisor/,2
/code/pdq/,2
/code/rt_gene_code/,2
/code/seq2single_code/,2
/dataset/air-traffic-occupancy/,2
/dataset/floor-and-lawn/,2
/?fbclid=IwAR0abkqkK1nSsxNighIzIF3FMGvpTnuVC1hOgWNJ1-MSiS3NHv_eW42fn8Y,1
/?fbclid=IwAR0uE63Uoo7y40obcWgIJvsP2HHD2CPjq8DwJdR_x71H8jfA5-Um4fVRqfY,1
/?fbclid=IwAR2GxgkEGPS8Nm4U9G-LXXpOViOV2caGQBIJ849ZWtVj1OxV9MMyZFaiyTs,1
/_next/static/media/debug.65f32d67.gif,1
/code/delta-descriptors/,1
/code/robotics-toolbox-python/?msclkid=2d0aa167b16711ec940f6350d22fc757,1
/code/swift/?msclkid=2d0c2f0db16711ec9156d07ce7c11bc1,1
/collection/vpr_overview/?fbclid=IwAR2r6mqZ60tDhHck_OAe4tvpCNFEN_DJZN4vKMkgPv7LxMHP9Xl8NNKYQhk,1
/dataset/benchbot-challenge/,1
/dataset/kagaru/,1
/dataset/low-light/,1
/dataset/multimodal-rock-surface/,1
/dataset/uq-st-lucia/,1
/debug/%22/_next/static/gifs/0b702a0b6abfa7d90459998e6fa0ee8c.gif%22,1
/public/qcr_logo_light_filled.svg,1
/static/images/debug-0b702a0b6abfa7d90459998e6fa0ee8c.mp4,1

# Start date: 20210502
# End date: 20220502
Page path + query string and screen class,Views,Users
/,1555,677
/collection/vpr_overview/,528,198
/code/,463,82
/dataset/,298,63
/collection/,199,54
/dataset/benchbot-bear-data/,168,58
/code/robotics-toolbox-python/,158,103
/dataset/aircraft-collision-course/,155,61
/code/debug/,141,2
/code/swift/,67,36
/collection/benchbot/,50,10
/dataset/vprbench/,48,24
/code/vprbench/,46,18
/collection/python_robotics/,45,32
/code/abstract-map/,41,24
/dataset/airspace-traffic-occupation/,36,8
/code/patchnetvlad_code/,34,24
/code/armer/,32,16
/code/seqnet_code/,32,23
/dataset/mt-cootha-day-night/,32,4
